"","taxon","slope","inter","pval","trend","samples","sum.taxon"
"as.numeric(year)256","Tipula",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)255","Timpanoga.hecuba",-0.0591366848106667,122.09211736958,0.732643632091868,"none",20,20
"as.numeric(year)254","Thremmatidae",0.324985375486278,-656.194517243846,0.0414953546885036,"positive",5,5
"as.numeric(year)253","Thaumaleidae",0.328257745727035,-656.254987660105,0.297500329077462,"none",20,20
"as.numeric(year)252","Tanyderidae",0.113980756934502,-231.876811044742,0.408525526687884,"none",2,2
"as.numeric(year)251","Taeniopterygidae",-0.00719735466955547,12.6951164092394,0.942826354138546,"none",3,3
"as.numeric(year)250","Tabanidae",0.117543344503213,-236.713224422806,0.137350767227666,"none",10,10
"as.numeric(year)249","Syrphidae",0.169201263288119,-344.031947260957,0.439829074683025,"none",1,1
"as.numeric(year)248","Sweltsa",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)247","Stygobromus",0.29381064204069,-594.171597211874,0.107906116045121,"none",3,3
"as.numeric(year)246","Stratiomyidae",0.0982667997816052,-199.060157183065,0.279994545698161,"none",5,5
"as.numeric(year)245","Sphaeriidae",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)244","Soyedina",0.77344809109821,-1548.46400038173,0.292086239943533,"none",20,20
"as.numeric(year)243","Skwala",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)242","Siphlonurus",0.0301992674712517,-63.799783792144,0.857034088265337,"none",1,1
"as.numeric(year)241","Simuliidae",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)240","Sialis",0.328257745727035,-656.254987660105,0.297500329077462,"none",20,20
"as.numeric(year)239","Serratella.micheneri",40.7438251379215,-81915.4707977789,0.998571372254377,"none",13,13
"as.numeric(year)238","Serratella.levis",-0.214617041398226,430.06452795107,0.0869804151372798,"none",4,4
"as.numeric(year)237","Sciomyzidae",0.00927289383581373,-19.3591526402394,0.90115078232866,"none",7,7
"as.numeric(year)236","Rhyacophila",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)235","Rhithrogena",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)234","Rhabdomastix._.Lurdia._",0.303565496401254,-610.902114062526,0.0153207420343655,"positive",11,11
"as.numeric(year)233","Rhabdomastix",0.0973948096090429,-194.489090801433,0.312795228525674,"none",17,17
"as.numeric(year)232","Ramellogammarus",0.381839856396107,-765.846954404289,0.0518919658852019,"none",17,17
"as.numeric(year)231","Ptychoptera",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)230","Pteronarcys.princeps",0.279186452760028,-560.152378682841,0.042537117824267,"positive",16,16
"as.numeric(year)229","Pteronarcys.californica",0.208036951206647,-418.899029169961,0.0319730883261952,"positive",10,10
"as.numeric(year)228","Pteronarcys",0.0115869390825783,-21.0700161864307,0.922833779398847,"none",19,19
"as.numeric(year)227","Pteronarcyidae",0.12511105692546,-252.393459634302,0.131695971168627,"none",8,8
"as.numeric(year)226","Pteronarcella",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)225","Psychomyia",0.60418125641315,-1219.58898760386,0.0456651597666829,"positive",5,5
"as.numeric(year)224","Psychoglypha",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)223","Psychodini",0.0660996301829466,-134.004431646858,0.417070823193653,"none",6,6
"as.numeric(year)222","Psychodidae",0.246171985411516,-495.098250840281,0.0225480118713378,"positive",12,12
"as.numeric(year)221","Protoptila",0.357995542786272,-720.448807950693,0.0138273648887792,"positive",11,11
"as.numeric(year)220","Prostoma",0.357995542786183,-720.448807950513,0.0138273648888418,"positive",11,11
"as.numeric(year)219","Proclinopyga",1.30919901979746,-2632.14435841619,0.113979591793804,"none",13,13
"as.numeric(year)218","Polycentropus",-0.0583639457515759,116.76639977602,0.445860498243176,"none",7,7
"as.numeric(year)217","Polycentropodidae",0.380465211570888,-765.671155269935,0.0138479261146136,"positive",11,11
"as.numeric(year)216","Pleuroceridae",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)215","Plecoptera",0.127936124974697,-259.528825233636,0.280498419316591,"none",3,3
"as.numeric(year)214","Planorbidae",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)213","Piscicolidae",-0.0478943666926353,94.5835802069484,0.638465760495953,"none",3,3
"as.numeric(year)212","Pilaria",-0.043531392942095,87.1304802517281,0.55337346020212,"none",8,8
"as.numeric(year)211","Physidae",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)210","Philopotamidae",0.170240930907038,-342.321500174839,0.055499476078337,"none",12,12
"as.numeric(year)209","Perlinodes.aureus",-0.0453104497304718,89.7343190524864,0.617416170951948,"none",4,4
"as.numeric(year)208","Perlidae",-0.20860010450103,422.738429652014,0.232777673758595,"none",19,19
"as.numeric(year)207","Pericomaini",-0.101374920493511,205.986470804472,0.366390863780488,"none",18,18
"as.numeric(year)206","Peltoperlidae",0.0658730960873812,-134.446811549912,0.533600899246139,"none",3,3
"as.numeric(year)205","Peltodytes",0.0467976669402149,-96.4843427634417,0.704585929424288,"none",2,2
"as.numeric(year)204","Pediciidae",40.0730655031163,-80887.4626721248,0.998338484575543,"none",5,5
"as.numeric(year)203","Pedicia",0.0308671751031197,-60.9599427668485,0.709811647153925,"none",16,16
"as.numeric(year)202","Parthina",-0.00124665905909921,2.02389100837777,0.986253934110122,"none",8,8
"as.numeric(year)201","Parapsyche",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)200","Paraperlinae",0.066099630182946,-134.004431646857,0.41707082319364,"none",6,6
"as.numeric(year)199","Paraperla",39.0170145103482,-78131.6997007149,0.99790188185635,"none",20,20
"as.numeric(year)198","Paraleptophlebia.Bicornuta.Group",0.0535919953306402,-106.394628156526,0.557289364012656,"none",17,17
"as.numeric(year)197","Palaemonidae",-0.0522969566015208,102.225486475873,0.755554555501445,"none",1,1
"as.numeric(year)196","Pacifastacus",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)195","Oxyethira",0.105453428416128,-213.031438911175,0.202131197544512,"none",7,7
"as.numeric(year)194","Ostracoda",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)193","Ormosia",0.020930742607845,-41.8427165664106,0.768916380981788,"none",12,12
"as.numeric(year)192","Oreogeton",0.77344809109821,-1548.46400038173,0.292086239943533,"none",20,20
"as.numeric(year)191","Optioservus",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)190","Onocosmoecus",0.0522969566015293,-102.22548647589,0.755554555501412,"none",20,20
"as.numeric(year)189","Oligophlebodes",0.328257745727035,-656.254987660105,0.297500329077462,"none",20,20
"as.numeric(year)188","Oligochaeta",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)187","Octogomphus",0.167111144123483,-337.243722102582,0.0755508685319766,"none",7,7
"as.numeric(year)186","Nereididae",-0.248283814011889,495.842468780831,0.330520344361677,"none",1,1
"as.numeric(year)185","Neothremma",-0.375392666445772,757.460370411199,0.027296974712066,"negative",15,15
"as.numeric(year)184","Neophylax",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)183","Neoleptophlebia_Paraleptophlebia",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)182","Nemouridae",0.0296333213802506,-59.7452061206498,0.676156652734138,"none",10,10
"as.numeric(year)181","Nemotelus",-0.086080097576745,170.905870104897,0.497383336888989,"none",2,2
"as.numeric(year)180","Nematomorpha",-0.0522969566015208,102.225486475873,0.755554555501445,"none",1,1
"as.numeric(year)179","Nematocera",0.451870791693145,-914.914869788982,0.323333864864016,"none",1,1
"as.numeric(year)178","Nemata",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)177","Neaviperla_Suwallia",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)176","Narpus",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)175","Mystacides",0.1580295240018,-320.208910890967,0.21405104043028,"none",3,3
"as.numeric(year)174","Muscidae",-0.16008065679936,320.493512444513,0.143319098534016,"none",4,4
"as.numeric(year)173","Molophilus",0.202835009778922,-406.749661762898,0.0700390482195988,"none",16,16
"as.numeric(year)172","Micrasema",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)171","Meringodixa",0.303409234480275,-607.900911382053,0.0899524287290051,"none",18,18
"as.numeric(year)170","Megarcys",0.0658234282660901,-132.595938216345,0.368233958438874,"none",10,10
"as.numeric(year)169","Matriella.teresa",0.188745851754595,-381.117855631681,0.0695386781417026,"none",6,6
"as.numeric(year)168","Maruina",0.0522969566015293,-102.22548647589,0.755554555501412,"none",20,20
"as.numeric(year)167","Margaritiferidae",-0.214318812187966,431.8147944056,0.0317091881359921,"negative",12,12
"as.numeric(year)166","Malenka",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)165","Lymnaeidae",-0.451870791693198,914.91486978909,0.323333864863968,"none",20,20
"as.numeric(year)164","Lipsothrix",0.169201263288119,-344.031947260957,0.439829074683025,"none",1,1
"as.numeric(year)163","Limoniidae",0.0982667997816064,-199.060157183068,0.279994545698146,"none",5,5
"as.numeric(year)162","Limnichidae",-39.0170145113911,78131.6997028045,0.997901881857003,"none",1,1
"as.numeric(year)161","Limnephiloidea",0.434686333949523,-878.5976789745,0.094102774441369,"none",3,3
"as.numeric(year)160","Limnephilidae",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)159","Leuctridae",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)158","Leptophlebiidae",1.30919901979746,-2632.14435841619,0.113979591793804,"none",13,13
"as.numeric(year)157","Leptoceridae",0.0238157243953827,-49.1076588862219,0.774655405913903,"none",5,5
"as.numeric(year)156","Lepidostoma",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)155","Lepidoptera",0.190087873364545,-382.510024123453,0.0399445669656139,"positive",11,11
"as.numeric(year)154","Lara",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)153","Labiobaetis",0.0708218483991469,-141.600656701695,0.381363782316113,"none",15,15
"as.numeric(year)152","Kathroperla",-39.1190788866708,79118.141928012,0.997960363392574,"none",20,20
"as.numeric(year)151","Isoperla",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)150","Ironodes",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)149","Hydroptila",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)148","Hydropsychidae",0.0579171480293661,-115.638058972034,0.467936566149435,"none",15,15
"as.numeric(year)147","Hydropsyche",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)146","Hydrophilidae",-0.236807541470267,479.128685300521,0.130272497179335,"none",18,18
"as.numeric(year)145","Hydrochus",-0.138881345685975,277.01601973384,0.320633794894264,"none",2,2
"as.numeric(year)144","Hydrobiidae",0.0703366582464274,-139.253198524382,0.571202455916712,"none",19,19
"as.numeric(year)143","Hydraenidae",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)142","Hydra",0.248283814011964,-495.842468780983,0.330520344361566,"none",20,20
"as.numeric(year)141","Hydatophylax",-0.0642601830922358,128.630465346488,0.404112199136292,"none",7,7
"as.numeric(year)140","Hyalella",0.181636828079261,-365.747572426999,0.0455618546519024,"positive",10,10
"as.numeric(year)139","Holorusia",0.208600104501031,-422.738429652016,0.232777673758623,"none",2,2
"as.numeric(year)138","Hirudinida",-0.15591861403133,311.742067160752,0.200138294946336,"none",3,3
"as.numeric(year)137","Hexatoma",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)136","Heteroplectron",0.177318646576981,-356.04867757245,0.0613880837584909,"none",14,14
"as.numeric(year)135","Heterlimnius.corpulentus",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)134","Hesperoperla.pacifica",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)133","Hesperoconopa",0.149472045158001,-301.965929530835,0.114486660108838,"none",6,6
"as.numeric(year)132","Heptageniidae",-0.0377827319482447,77.2305673544643,0.652858939585279,"none",16,16
"as.numeric(year)131","Helobdella",-0.0374703617889116,76.1264594602897,0.620711908078777,"none",14,14
"as.numeric(year)130","Haliplus",0.00288285325525869,-7.59478295221732,0.977110755644298,"none",3,3
"as.numeric(year)129","Haliplidae",-0.0115869390825783,21.0700161864308,0.922833779398847,"none",2,2
"as.numeric(year)128","Gyrinidae",0.0301992674712517,-63.799783792144,0.857034088265337,"none",1,1
"as.numeric(year)127","Gumaga",-0.773448091098741,1548.46400038279,0.292086239943357,"none",1,1
"as.numeric(year)126","Gonomyia",-0.017273607508561,32.9742576980564,0.863451905290471,"none",3,3
"as.numeric(year)125","Gomphidae",0.507880062056244,-1018.17353535372,0.0809826948891385,"none",18,18
"as.numeric(year)124","Goeridae",0.0623182717811864,-127.751588331011,0.620442716575237,"none",2,2
"as.numeric(year)123","Goeracea",-0.0151059867846517,30.3113981771909,0.830323558365304,"none",10,10
"as.numeric(year)122","Goera",-39.0170145113911,78131.6997028045,0.997901881857003,"none",1,1
"as.numeric(year)121","Glutops",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)120","Glossosomatidae",0.479079545956781,-961.031388908329,0.0541194184913778,"none",17,17
"as.numeric(year)119","Glossosoma",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)118","Glossiphoniidae",-0.0453104497304729,89.7343190524887,0.617416170951945,"none",4,4
"as.numeric(year)117","Glossiphonia",0.0901089141506222,-182.624246117303,0.315123510598617,"none",5,5
"as.numeric(year)116","Gastropoda",-0.0246150910853836,46.541521808536,0.881571503797111,"none",1,1
"as.numeric(year)115","Gammarus",-0.435618637822938,873.202660203644,0.0797982874830806,"none",3,3
"as.numeric(year)114","Forcipomyiinae",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)113","Farula",0.0197664131965144,-40.2752163785615,0.785701577296188,"none",8,8
"as.numeric(year)112","Erpobdella",0.103088971118393,-205.573827436744,0.345632702377542,"none",18,18
"as.numeric(year)111","Erioptera",0.178668105703399,-361.439126709496,0.131189180950654,"none",4,4
"as.numeric(year)110","Epiphragma",0.126314813070796,-257.51634136849,0.520632480965199,"none",1,1
"as.numeric(year)109","Ephydridae",0.151940877824864,-305.011693527564,0.0891159820618623,"none",14,14
"as.numeric(year)108","Ephemerellidae",0.0209721690774704,-40.7628148000062,0.814951891172225,"none",17,17
"as.numeric(year)107","Ephemerella.tibialis",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)106","Ephemerella.Excrucians.Group",0.559072850304026,-1120.03765541375,0.134798790531536,"none",19,19
"as.numeric(year)105","Ephemerella.aurivillii",-0.0146934968522866,28.6585381040518,0.850262455561994,"none",6,6
"as.numeric(year)104","Ephemerella",0.248283814011964,-495.842468780983,0.330520344361566,"none",20,20
"as.numeric(year)103","Ephemera",-39.0170145113911,78131.6997028045,0.997901881857003,"none",1,1
"as.numeric(year)102","Epeorus.longimanus",-40.5592063229981,81503.7391870543,0.998510702363511,"none",7,7
"as.numeric(year)101","Epeorus.Grandis.Group",-40.5592063229981,81503.7391870543,0.998510702363511,"none",7,7
"as.numeric(year)100","Epeorus.deceptivus",-0.773448091098741,1548.46400038279,0.292086239943357,"none",1,1
"as.numeric(year)99","Epeorus.Albertae.Group",-0.607580906612281,1220.27272099773,0.0396467207691503,"negative",6,6
"as.numeric(year)98","Epeorus",0.225976648406837,-452.453559337388,0.119820924285898,"none",18,18
"as.numeric(year)97","Eocosmoecus",-0.773448091098741,1548.46400038279,0.292086239943357,"none",1,1
"as.numeric(year)96","Empididae.Genus.A",0.224865566269836,-456.379026826745,0.378845302581541,"none",1,1
"as.numeric(year)95","Empididae",0.77344809109821,-1548.46400038173,0.292086239943533,"none",20,20
"as.numeric(year)94","Eloeophila",0.328257745727035,-656.254987660105,0.297500329077462,"none",20,20
"as.numeric(year)93","Ectopria",0.113980756934502,-231.876811044743,0.40852552668788,"none",2,2
"as.numeric(year)92","Ecclisomyia",-0.0744112107519627,151.001031038044,0.395411657291061,"none",16,16
"as.numeric(year)91","Ecclisocosmoecus",-39.0170145113911,78131.6997028045,0.997901881857003,"none",1,1
"as.numeric(year)90","Dytiscidae",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)89","Drunella.pelosa",0.0905957625191122,-185.494290269203,0.619204510759922,"none",1,1
"as.numeric(year)88","Drunella.grandis_spinifera",0.0522969566015293,-102.22548647589,0.755554555501412,"none",20,20
"as.numeric(year)87","Drunella.doddsii",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)86","Drunella.coloradensis_flavilinea",-0.013008184075801,27.9783226779894,0.897324324403694,"none",18,18
"as.numeric(year)85","Drunella",0.309346643245841,-621.853096878732,0.0181839136537635,"positive",13,13
"as.numeric(year)84","Doroneuria",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)83","Dolophilodes",0.0734436285485511,-146.618284698069,0.393242272895415,"none",16,16
"as.numeric(year)82","Dolichopodidae",0.212552336592444,-426.599279844869,0.0494221933516271,"positive",15,15
"as.numeric(year)81","Dixidae",0.173542883105323,-349.452238953373,0.0514699396718739,"none",10,10
"as.numeric(year)80","Dixella",-0.111664052411981,224.664469594542,0.152900610356178,"none",10,10
"as.numeric(year)79","Dixa",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)78","Diphetor.hageni",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)77","Dicranota",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)76","Dicranomyia",0.0708218483991551,-141.600656701712,0.381363782316077,"none",15,15
"as.numeric(year)75","Dicosmoecus",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)74","Decapoda",0.126314813070796,-257.51634136849,0.520632480965199,"none",1,1
"as.numeric(year)73","Dasyhelea",0.0890634124384209,-181.174158256309,0.417039183236927,"none",3,3
"as.numeric(year)72","Cystobranchus.salmositicus",0.0946297070416713,-189.955796882571,0.224371391052112,"none",13,13
"as.numeric(year)71","Culicidae",0.0130081840758077,-27.978322678003,0.897324324403643,"none",3,3
"as.numeric(year)70","Cryptochia",0.148262046859325,-297.065019602403,0.130731998220647,"none",16,16
"as.numeric(year)69","Crangonyx",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)68","Crangonyctidae",-0.773448091098741,1548.46400038279,0.292086239943357,"none",1,1
"as.numeric(year)67","Corydalidae",0.0905957625191122,-185.494290269203,0.619204510759922,"none",1,1
"as.numeric(year)66","Corixidae",0.125111056925459,-252.393459634301,0.13169597116863,"none",8,8
"as.numeric(year)65","Cordulegaster",0.301143706473992,-607.367373978316,0.0237685399315779,"positive",7,7
"as.numeric(year)64","Coenagrionidae",0.0668251417087565,-135.720433237503,0.440605944130774,"none",5,5
"as.numeric(year)63","Clostoeca",-0.192442497747507,383.781112989712,0.381436460513498,"none",1,1
"as.numeric(year)62","Clinocerinae",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)61","Cleptelmis.addenda",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)60","Claassenia.sabulosa",0.911761321351482,-1833.09344637032,0.0618111970106831,"none",13,13
"as.numeric(year)59","Cinygmula",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)58","Cinygma",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)57","Chloroperlidae",0.0690807786292698,-137.196224137162,0.506780592610185,"none",18,18
"as.numeric(year)56","Chironomidae",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)55","Cheumatopsyche",0.201194431747313,-403.768422880456,0.0554023024222266,"none",15,15
"as.numeric(year)54","Cheilotrichia",0.0591366848106622,-122.092117369571,0.732643632091867,"none",1,1
"as.numeric(year)53","Ceratopogoninae",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)52","Ceratopogonidae",0.0865633021476625,-175.22111485151,0.301863529073368,"none",6,6
"as.numeric(year)51","Caudatella.hystrix",-0.773448091098741,1548.46400038279,0.292086239943357,"none",1,1
"as.numeric(year)50","Caudatella",0.14387895043517,-288.537418326758,0.116295202816819,"none",15,15
"as.numeric(year)49","Capniidae",0.77344809109821,-1548.46400038173,0.292086239943533,"none",20,20
"as.numeric(year)48","Calopteryx",0.0591366848106622,-122.092117369571,0.732643632091867,"none",1,1
"as.numeric(year)47","Calineuria.californica",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)46","Caecidotea",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)45","Brychius",0.0734436285485591,-146.618284698085,0.393242272895356,"none",16,16
"as.numeric(year)44","Brachycentrus",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)43","Brachycentridae",0.0632843096151647,-127.889299364552,0.400316257621037,"none",8,8
"as.numeric(year)42","Blephariceridae",0.231038540319029,-463.049859312326,0.0777986648225043,"none",17,17
"as.numeric(year)41","Blepharicera",-0.00923525293653731,19.0755848520971,0.898574720557747,"none",13,13
"as.numeric(year)40","Bibiocephala",-0.248283814011889,495.842468780831,0.330520344361677,"none",1,1
"as.numeric(year)39","Baetis.tricaudatus.complex",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)38","Baetis.piscatoris.complex",0.174896403615927,-354.226482003758,0.187438366378992,"none",3,3
"as.numeric(year)37","Baetis.flavistriga.complex",0.0610311655137442,-124.340787998219,0.513884164755409,"none",4,4
"as.numeric(year)36","Baetis.bicaudatus.complex",0.00259471806792086,-8.21877002381071,0.987460826856394,"none",1,1
"as.numeric(year)35","Baetis.alius",0.289702042398874,-585.420152296194,0.0685854132359483,"none",4,4
"as.numeric(year)34","Baetis",0.914307466030694,-1839.12841946338,0.0600764913492985,"none",12,12
"as.numeric(year)33","Baetidae",0.0355477812853461,-73.0162359358787,0.69619470636626,"none",4,4
"as.numeric(year)32","Austrolimnophila",0.126314813070796,-257.51634136849,0.520632480965199,"none",1,1
"as.numeric(year)31","Attenella.margarita",0.152428854469322,-305.728996253915,0.102467151290406,"none",15,15
"as.numeric(year)30","Attenella.delantala",0.225976648406837,-452.453559337388,0.119820924285898,"none",18,18
"as.numeric(year)29","Attenella",-0.432121304223915,869.18732412206,0.0159228140025703,"negative",9,9
"as.numeric(year)28","Atractelmis",39.1190788845217,-79118.1419236685,0.997960363390985,"none",1,1
"as.numeric(year)27","Atherix",0.492629032208089,-995.012655961622,0.0588570566828433,"none",4,4
"as.numeric(year)26","Arctopsychinae",0.116630830795018,-233.163094231869,0.24241049659847,"none",17,17
"as.numeric(year)25","Arctopsyche",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)24","Araeopidius.monachus",0.169201263288119,-344.031947260957,0.439829074683025,"none",1,1
"as.numeric(year)23","Apataniidae",0.0785340604460334,-160.4266654547,0.542552274827858,"none",2,2
"as.numeric(year)22","Apatania",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)21","Antocha",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)20","Anisoptera",0.0301992674712517,-63.799783792144,0.857034088265337,"none",1,1
"as.numeric(year)19","Ancylidae",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)18","Anagapetus",0.0679561067912161,-136.489322593395,0.35727613455138,"none",12,12
"as.numeric(year)17","Anafroptilum_Procloeon",0.129762592911978,-259.874277275397,0.169051015270706,"none",16,16
"as.numeric(year)16","Ampumixis",0.0171490291502172,-36.7752330947224,0.886787057785851,"none",2,2
"as.numeric(year)15","Amphipoda",0.359174333638869,-721.658427840539,0.0205125836762398,"positive",14,14
"as.numeric(year)14","Amiocentrus",1.30097262255821,-2612.9996745984,0.119636088218209,"none",15,15
"as.numeric(year)13","Americorophium",-0.248283814011889,495.842468780831,0.330520344361677,"none",1,1
"as.numeric(year)12","Ameletus",0.0860800975767625,-170.905870104932,0.497383336888889,"none",19,19
"as.numeric(year)11","Allocosmoecus",0.164151974659293,-331.84087210833,0.116350769996761,"none",5,5
"as.numeric(year)10","Agraylea",0.0591366848106622,-122.092117369571,0.732643632091867,"none",1,1
"as.numeric(year)9","Agathon",0.243763703605202,-492.363530089655,0.057423184871488,"none",5,5
"as.numeric(year)8","Agapetus",0.0478943666926345,-94.5835802069467,0.638465760495965,"none",18,18
"as.numeric(year)7","Afghanurus.criddlei",0.102149101039681,-205.302015515408,0.187188284615219,"none",12,12
"as.numeric(year)6","Afghanurus",0.0796081476821728,-161.211746007451,0.337290335078443,"none",6,6
"as.numeric(year)5","Acneus",-0.149164684931852,296.890214720806,0.450315762256329,"none",1,1
